location,positionName,minimum salary,maximum salary, average salary ,searchInput/country,searchInput/position,city name,salary_status
"San Bruno,CA","Senior Data Scientist, Research, YouTube Search","1,66,600",," $2,44,000.00 ",United States of America,Data Scientist,San Bruno,Available
"Milwaukee, WI 53214",Senior AI Engineer - Data Scientist,"1,12,000","1,54,000"," $1,33,000.00 ",United States of America,Data Scientist,Milwaukee,Available
"Redmond, WA","Audio Software Engineer, Applied Scientist",70.67,," $1,46,993.60 ",United States of America,Data Scientist,Redmond,Available
"Bellevue, WA 98005","Software Engineer, Machine Learning","2,03,350","2,40,240"," $2,21,795.00 ",United States of America,Data Scientist,Bellevue,Available
"Shelton, CT 06484",AI / Machine Learning Research Engineer (early career),,,,United States of America,Data Scientist,Shelton,Missing
"Cambridge, MA","Staff Data Scientist, Research, Search Platforms","1,97,000","2,91,000"," $2,44,000.00 ",United States of America,Data Scientist,Cambridge,Available
"Jacksonville, FL 32256","Applied AI/ML, Senior Associate - Gen AI & LLM","1,28,250","1,95,000"," $1,61,625.00 ",United States of America,Data Scientist,Jacksonville,Available
"San Francisco, CA 94108","Executive Director, ML and Ad Marketplace","2,93,755.64","4,59,791.43"," $3,76,774.00 ",United States of America,Data Scientist,San Francisco,Available
"Beavercreek, OH 45431",AI/ML Engineer,"70,000","1,20,000"," $95,000.00 ",United States of America,Data Scientist,Beavercreek,Available
"Rochester, MN 55901",Senior Software Engineer - AI/ML,"1,38,257.60","2,00,512.00"," $1,69,385.00 ",United States of America,Data Scientist,Rochester,Available
"San Francisco, CA","Staff Fullstack Software Engineer, AI Document Generation",,,,United States of America,Data Scientist,San Francisco,Missing
"Phoenix, AZ 85027",Machine Learning Data Acquisition Scientist (Ph.D.),,,,United States of America,Data Scientist,Phoenix,Missing
"Bellevue, WA 98005","Research Engineer, Speech & Language - Generative AI",85.1,," $1,77,008.00 ",United States of America,Data Scientist,Bellevue,Available
"Fort Worth, TX 76102",Sustainment Digital Tools & Engineering AI/ML Engineer Sr,,,,United States of America,Data Scientist,Fort Worth,Missing
"Fort Worth, TX 76102",Applied AI Architect,,,,United States of America,Data Scientist,Fort Worth,Missing
"Rochester, MN 55901",Senior Data Science Analyst - Remote,"1,22,990.40","1,84,579.20"," $1,53,785.00 ",United States of America,Data Scientist,Rochester,Available
"Atlanta, GA 30339",Senior Data Analyst - Assortment Analytics,,,,United States of America,Data Scientist,Atlanta,Missing
"Atlanta, GA 30339","Data Scientist, RPA",,,,United States of America,Data Scientist,Atlanta,Missing
"Herndon, VA",Part-Time AI Software Engineer Sr,,,,United States of America,Data Scientist,Herndon,Missing
"Boston, MA",Machine Learning Scientist,,,,United States of America,Data Scientist,Boston,Missing
"Bethesda, MD 20814",Data Scientist - Top Secret/SCI,,,,United States of America,Data Scientist,Bethesda,Missing
